,Date,Name,Duration,Distance,Speed,UpHill,DownHill
446,2019-07-26,Tour 26.07.2019 09:49,1.93,31.22,16.2,236,228
447,2019-07-24,Tour 24.07.2019 07:14,1.29,25.55,19.8,148,159
448,2019-07-23,Tour 23.07.2019 07:26,1.03,19.79,19.2,118,120
449,2019-07-21,Tour 21.07.2019 07:22,1.07,19.41,18.1,151,155
450,2019-07-20,Tour 20.07.2019 08:23,0.91,9.82,10.8,147,138
451,2019-07-16,Tour 16.07.2019 06:56,1.04,19.8,19.0,128,134
452,2019-07-15,Tour 15.07.2019 06:54,1.04,19.58,18.9,131,126
453,2019-07-14,Tour 14.07.2019 08:14,1.38,23.79,17.3,145,150
454,2019-07-12,Tour 12.07.2019 08:11,1.58,26.08,16.5,160,145
455,2019-07-11,Tour 11.07.2019 08:21,1.07,19.88,18.6,148,141
456,2019-07-10,Tour 10.07.2019 08:08,1.55,27.25,17.6,201,196
457,2019-07-09,Tour 09.07.2019 20:00,1.09,17.94,16.5,93,99
458,2019-06-27,Tour 27.06.2019 19:32,1.65,28.2,17.1,205,201
459,2019-06-21,Tour 21.06.2019 08:56,1.57,14.83,9.5,294,299
460,2019-06-19,Tour 19.06.2019 06:43,1.08,18.93,17.5,94,103
461,2019-06-17,Tour 17.06.2019 06:48,1.07,19.92,18.6,147,144
462,2019-06-15,Tour 15.06.2019 09:37,2.03,35.16,17.3,273,288
463,2019-06-14,Tour 14.06.2019 09:14,1.46,14.86,10.2,249,263
464,2019-06-12,Tour 12.06.2019 19:58,1.58,27.23,17.3,199,194
465,2019-06-06,Tour 06.06.2019 07:05,1.04,19.56,18.8,133,132
466,2019-06-04,Tour 04.06.2019 06:59,1.12,19.88,17.7,128,135
467,2019-06-01,Tour 01.06.2019 09:22,1.91,33.43,17.5,208,254
468,2019-05-31,Tour 31.05.2019 08:51,0.98,10.67,10.9,172,175
469,2019-05-29,Tour 29.05.2019 08:29,1.56,26.25,16.9,190,193
470,2019-05-25,Tour 25.05.2019 09:12,1.83,31.27,17.1,195,208
471,2019-05-20,Tour 20.05.2019 07:04,1.08,19.83,18.3,123,119
472,2019-05-18,Tour 18.05.2019 09:59,1.94,27.07,14.0,216,216
473,2019-05-10,Tour 10.05.2019 16:52,1.98,36.67,18.5,188,179
474,2019-05-08,Tour 08.05.2019 18:57,1.8,32.92,18.3,209,207
